0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51143
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/vendor/bootstrap/js/popper.js HTTP/1.1" 200 81670
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/vendor/select2/select2.min.css HTTP/1.1" 200 15196
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/vendor/animsition/js/animsition.min.js HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/vendor/daterangepicker/daterangepicker.js HTTP/1.1" 200 69776
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/vendor/daterangepicker/moment.min.js HTTP/1.1" 200 46645
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/js/main.js HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:33 +0530] "GET /Depression_prediction_model/vendor/countdowntime/countdowntime.js HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:35 +0530] "GET /Depression_prediction_model/images/bg-01.jpg HTTP/1.1" 200 114272
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:35 +0530] "GET /Depression_prediction_model/fonts/poppins/Poppins-Regular.ttf HTTP/1.1" 200 145312
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:35 +0530] "GET /Depression_prediction_model/fonts/poppins/Poppins-Bold.ttf HTTP/1.1" 200 141260
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:35 +0530] "GET /Depression_prediction_model/fonts/poppins/Poppins-Medium.ttf HTTP/1.1" 200 143516
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:35 +0530] "GET /Depression_prediction_model/fonts/iconic/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 200 38384
0:0:0:0:0:0:0:1 - - [07/Jun/2025:12:15:35 +0530] "GET /Depression_prediction_model/images/icons/favicon.ico HTTP/1.1" 200 32038
