0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:09:40 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:11:53 +0530] "GET /Depression_prediction_model/file_upload HTTP/1.1" 200 8679
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:11:53 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:11:53 +0530] "GET /Depression_prediction_model/jsnew/highcharts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:11:53 +0530] "GET /Depression_prediction_model/jsnew/jquery-1.9.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:12:01 +0530] "GET /Depression_prediction_model/file_upload HTTP/1.1" 200 8678
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:19:04 +0530] "GET /Depression_prediction_model/File_UploadPage.jsp HTTP/1.1" 200 8624
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:19:04 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:19:08 +0530] "GET /Depression_prediction_model/login_page HTTP/1.1" 200 5632
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:19:21 +0530] "POST /Depression_prediction_model/login_page HTTP/1.1" 200 6645
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:19:21 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:19:27 +0530] "GET /Depression_prediction_model/UserInputPage.jsp HTTP/1.1" 200 8012
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:19:27 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:19:55 +0530] "POST /Depression_prediction_model/userinputtest HTTP/1.1" 200 11629
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:19:55 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:20:12 +0530] "GET /Depression_prediction_model/UserInputPage.jsp HTTP/1.1" 200 8012
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:20:12 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:20:53 +0530] "POST /Depression_prediction_model/userinputtest HTTP/1.1" 200 11629
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:20:53 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:20:58 +0530] "GET /Depression_prediction_model/UserInputPage.jsp HTTP/1.1" 200 8012
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:20:58 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:21:28 +0530] "POST /Depression_prediction_model/userinputtest HTTP/1.1" 200 11927
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:21:28 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:21:44 +0530] "GET /Depression_prediction_model/UserInputPage.jsp HTTP/1.1" 200 8012
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:21:44 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:22:03 +0530] "POST /Depression_prediction_model/userinputtest HTTP/1.1" 200 11927
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:22:03 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:22:18 +0530] "GET /Depression_prediction_model/login_page HTTP/1.1" 200 5632
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:22:30 +0530] "POST /Depression_prediction_model/login_page HTTP/1.1" 200 6645
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:22:30 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:22:34 +0530] "GET /Depression_prediction_model/UserInputPage.jsp HTTP/1.1" 200 8012
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:22:34 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
